epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,929.571,1.194,1.31375,1.32364,0.58862,0.53916,0.53343,0.32815,1.36918,1.36472,1.44653,0.00034841,0.00034841,0.00034841
26,966.447,1.18577,1.2763,1.30952,0.62423,0.51422,0.51157,0.31332,1.42855,1.40336,1.4569,0.000346885,0.000346885,0.000346885
27,1003.37,1.15839,1.26132,1.2943,0.6301,0.45988,0.52316,0.33006,1.36878,1.32162,1.44481,0.00034536,0.00034536,0.00034536
28,1040.33,1.16922,1.25589,1.30615,0.66624,0.48832,0.5467,0.34176,1.41618,1.32997,1.48547,0.000343836,0.000343836,0.000343836
29,1076.47,1.15537,1.23078,1.29227,0.61003,0.52149,0.54504,0.33705,1.41725,1.35698,1.47831,0.000342311,0.000342311,0.000342311
30,1112.95,1.15184,1.22195,1.29192,0.60414,0.52743,0.55278,0.34515,1.41549,1.33174,1.47184,0.000340787,0.000340787,0.000340787
31,1150.71,1.13934,1.20272,1.2811,0.69141,0.48452,0.54153,0.33605,1.36415,1.37269,1.44363,0.000339262,0.000339262,0.000339262
32,1188.32,1.14342,1.19882,1.27579,0.62582,0.49289,0.53012,0.32976,1.38981,1.38478,1.4523,0.000337737,0.000337737,0.000337737
33,1225.85,1.13835,1.17485,1.27589,0.54239,0.57223,0.56595,0.34767,1.41029,1.28362,1.4561,0.000336213,0.000336213,0.000336213
34,1263.26,1.12728,1.1813,1.27816,0.57339,0.57712,0.56487,0.35719,1.3834,1.29846,1.45449,0.000334688,0.000334688,0.000334688
35,1300.36,1.13711,1.15047,1.27204,0.56213,0.602,0.564,0.35484,1.40981,1.34668,1.46284,0.000333164,0.000333164,0.000333164
36,1337.13,1.10297,1.13149,1.25884,0.59397,0.54262,0.53683,0.3401,1.38748,1.33418,1.45067,0.000331639,0.000331639,0.000331639
37,1374.08,1.09078,1.10111,1.24025,0.65474,0.52627,0.56735,0.35137,1.3791,1.29567,1.43523,0.000330114,0.000330114,0.000330114
38,1411.03,1.11835,1.1155,1.27562,0.67375,0.51224,0.57474,0.35176,1.38589,1.25992,1.47205,0.00032859,0.00032859,0.00032859
39,1448.03,1.09077,1.0876,1.25925,0.71643,0.51435,0.57492,0.3637,1.3822,1.26255,1.45422,0.000327065,0.000327065,0.000327065
40,1485.36,1.08617,1.06836,1.24172,0.68198,0.52424,0.58659,0.36129,1.39802,1.26076,1.46727,0.000325541,0.000325541,0.000325541
41,1522.26,1.1,1.10458,1.24862,0.7119,0.49932,0.58005,0.35878,1.4085,1.339,1.43949,0.000324016,0.000324016,0.000324016
42,1559.52,1.10669,1.07833,1.25069,0.65719,0.54838,0.58143,0.35282,1.39467,1.27412,1.4588,0.000322491,0.000322491,0.000322491
43,1595.85,1.08483,1.05187,1.25002,0.60858,0.5806,0.56176,0.34668,1.40287,1.30433,1.43852,0.000320967,0.000320967,0.000320967
44,1632.39,1.05328,1.02965,1.22282,0.70552,0.4568,0.54563,0.33486,1.39308,1.32586,1.4637,0.000319442,0.000319442,0.000319442
45,1669.71,1.05786,1.03944,1.22693,0.61424,0.55456,0.56776,0.3505,1.45196,1.32944,1.4842,0.000317918,0.000317918,0.000317918
46,1706.67,1.04795,1.00771,1.22089,0.68629,0.48011,0.5671,0.3463,1.45124,1.27891,1.5025,0.000316393,0.000316393,0.000316393
47,1743.86,1.06318,1.01037,1.22834,0.59741,0.53389,0.56975,0.36832,1.38238,1.27354,1.48767,0.000314868,0.000314868,0.000314868
48,1780.87,1.03897,0.98547,1.2137,0.63038,0.5343,0.55858,0.34142,1.46177,1.34881,1.48983,0.000313344,0.000313344,0.000313344
49,1817.96,1.04751,1.0039,1.22035,0.70804,0.48906,0.5629,0.34359,1.39421,1.22616,1.48961,0.000311819,0.000311819,0.000311819
50,1853.89,1.04639,0.98745,1.21759,0.53146,0.6002,0.54976,0.33516,1.46972,1.34472,1.50583,0.000310295,0.000310295,0.000310295
51,1890.83,1.03363,0.9951,1.22309,0.63761,0.49914,0.51684,0.31241,1.51925,1.33898,1.53858,0.00030877,0.00030877,0.00030877
52,1927.81,1.03003,0.97818,1.20663,0.64963,0.52044,0.55149,0.34945,1.4536,1.28035,1.50946,0.000307245,0.000307245,0.000307245
53,1964.85,1.0284,0.99019,1.20992,0.66799,0.479,0.55784,0.35199,1.39492,1.24526,1.46229,0.000305721,0.000305721,0.000305721
54,2001.82,0.99946,0.95575,1.19687,0.62714,0.56483,0.56801,0.34721,1.40772,1.26567,1.47309,0.000304196,0.000304196,0.000304196
55,2039.09,0.99825,0.93976,1.19488,0.65014,0.49975,0.56391,0.35844,1.39457,1.32722,1.45701,0.000302672,0.000302672,0.000302672
56,2075.92,1.01226,0.94452,1.18599,0.62426,0.53036,0.562,0.35921,1.42294,1.23826,1.47011,0.000301147,0.000301147,0.000301147
57,2112.85,1.00896,0.93836,1.19804,0.66654,0.51539,0.55561,0.33109,1.45006,1.28003,1.49704,0.000299622,0.000299622,0.000299622
58,2150.09,1.00612,0.93967,1.19651,0.59425,0.55069,0.56187,0.3524,1.41012,1.28944,1.48959,0.000298098,0.000298098,0.000298098
59,2187.05,0.99368,0.91722,1.18993,0.63622,0.52251,0.56209,0.34665,1.48617,1.34423,1.50551,0.000296573,0.000296573,0.000296573
60,2224.48,0.98634,0.9195,1.18428,0.66223,0.48214,0.56235,0.35256,1.42179,1.24302,1.4937,0.000295049,0.000295049,0.000295049
61,2261.48,0.96634,0.90449,1.16862,0.61589,0.50759,0.5419,0.33686,1.41699,1.25445,1.50826,0.000293524,0.000293524,0.000293524
62,2298.5,0.9878,0.90592,1.18333,0.59713,0.53514,0.54821,0.33845,1.43391,1.29341,1.48122,0.000291999,0.000291999,0.000291999
63,2336.01,0.99781,0.89943,1.18773,0.59159,0.5514,0.55293,0.3397,1.41102,1.28282,1.5005,0.000290475,0.000290475,0.000290475
64,2372.58,0.95607,0.86733,1.16219,0.63268,0.54395,0.58661,0.36118,1.44478,1.25893,1.50657,0.00028895,0.00028895,0.00028895
65,2409.67,0.97022,0.87157,1.17066,0.49482,0.62038,0.57186,0.35356,1.39353,1.19845,1.46832,0.000287426,0.000287426,0.000287426
66,2446.86,0.95337,0.85404,1.15764,0.62916,0.52828,0.56954,0.35398,1.42826,1.22871,1.49783,0.000285901,0.000285901,0.000285901
67,2483.72,0.95404,0.88317,1.1643,0.58626,0.54673,0.55762,0.35419,1.36845,1.25708,1.44738,0.000284376,0.000284376,0.000284376
68,2521,0.95621,0.86381,1.16707,0.61628,0.57109,0.56439,0.3508,1.41248,1.27231,1.48274,0.000282852,0.000282852,0.000282852
69,2558.07,0.96513,0.86261,1.15833,0.6347,0.55423,0.56917,0.35831,1.40837,1.25343,1.46865,0.000281327,0.000281327,0.000281327
70,2594.87,0.93256,0.84093,1.15272,0.62452,0.49456,0.57363,0.35194,1.42581,1.23099,1.47631,0.000279803,0.000279803,0.000279803
71,2631.5,0.93661,0.83118,1.14982,0.62918,0.54308,0.56235,0.34314,1.472,1.29609,1.53162,0.000278278,0.000278278,0.000278278
72,2668.75,0.96274,0.84835,1.16732,0.644,0.49728,0.54268,0.33454,1.42709,1.28032,1.4921,0.000276753,0.000276753,0.000276753
73,2706.24,0.92975,0.83885,1.15496,0.64612,0.52057,0.56643,0.35471,1.40215,1.29053,1.48379,0.000275229,0.000275229,0.000275229
74,2743.31,0.93225,0.84056,1.16133,0.5366,0.59607,0.56399,0.35011,1.43629,1.28015,1.48265,0.000273704,0.000273704,0.000273704
75,2780.3,0.94913,0.84124,1.15366,0.68187,0.5265,0.56986,0.35661,1.41255,1.24039,1.46611,0.00027218,0.00027218,0.00027218
76,2817.99,0.93434,0.83006,1.15322,0.70189,0.5387,0.58863,0.36431,1.44804,1.26207,1.50313,0.000270655,0.000270655,0.000270655
77,2855.07,0.92213,0.82334,1.14502,0.58912,0.5915,0.56422,0.35088,1.41208,1.25365,1.50189,0.00026913,0.00026913,0.00026913
78,2891.47,0.92779,0.81674,1.15122,0.59852,0.51404,0.56253,0.35006,1.46528,1.27996,1.53621,0.000267606,0.000267606,0.000267606
79,2928.63,0.93016,0.80614,1.14332,0.6302,0.48604,0.55986,0.34662,1.43518,1.27,1.51863,0.000266081,0.000266081,0.000266081
80,2966.13,0.92575,0.81513,1.14123,0.60574,0.49545,0.55102,0.34362,1.44384,1.32818,1.52756,0.000264557,0.000264557,0.000264557
81,3003.57,0.92166,0.81327,1.14482,0.63117,0.47394,0.55979,0.34801,1.4512,1.27049,1.52634,0.000263032,0.000263032,0.000263032
82,3040.97,0.8992,0.78231,1.1315,0.61858,0.50286,0.57437,0.3677,1.44514,1.24733,1.50734,0.000261507,0.000261507,0.000261507
83,3078.62,0.92218,0.81172,1.14626,0.58676,0.59937,0.57426,0.35922,1.45018,1.23307,1.52877,0.000259983,0.000259983,0.000259983
84,3115.75,0.89472,0.7862,1.1345,0.62859,0.55261,0.57632,0.36261,1.42443,1.30339,1.511,0.000258458,0.000258458,0.000258458
85,3152.22,0.8943,0.785,1.13928,0.70905,0.48524,0.57096,0.35519,1.48635,1.26739,1.55053,0.000256934,0.000256934,0.000256934
86,3189.78,0.90003,0.78555,1.13438,0.55439,0.56492,0.57195,0.35802,1.42859,1.22786,1.53762,0.000255409,0.000255409,0.000255409
87,3227.42,0.89703,0.77906,1.13118,0.61306,0.53603,0.54273,0.33888,1.4402,1.29288,1.52636,0.000253884,0.000253884,0.000253884
88,3264.76,0.8902,0.75907,1.12408,0.60139,0.52657,0.54758,0.34141,1.47126,1.28192,1.53632,0.00025236,0.00025236,0.00025236
89,3302.94,0.89045,0.75881,1.11754,0.64488,0.55063,0.56527,0.35015,1.41876,1.26609,1.5155,0.000250835,0.000250835,0.000250835
90,3340.28,0.87582,0.75764,1.11724,0.61749,0.49185,0.53616,0.3334,1.4319,1.28899,1.50984,0.000249311,0.000249311,0.000249311
91,3377.38,0.87483,0.75628,1.11973,0.58202,0.53659,0.55434,0.34027,1.43804,1.29243,1.58646,0.000247786,0.000247786,0.000247786
92,3414.14,0.89027,0.76558,1.13797,0.63,0.51408,0.55664,0.34193,1.47307,1.29301,1.53611,0.000246261,0.000246261,0.000246261
93,3451.38,0.86626,0.7478,1.11548,0.59882,0.55847,0.5695,0.34814,1.45894,1.24244,1.53689,0.000244737,0.000244737,0.000244737
94,3488.97,0.86929,0.7417,1.11629,0.69868,0.53099,0.57874,0.35561,1.45048,1.23398,1.53669,0.000243212,0.000243212,0.000243212
95,3526.17,0.86212,0.73101,1.11074,0.62618,0.52801,0.57069,0.35661,1.43522,1.26423,1.53678,0.000241688,0.000241688,0.000241688
96,3563.61,0.87806,0.74217,1.11749,0.71617,0.50054,0.55504,0.3526,1.43619,1.25685,1.53179,0.000240163,0.000240163,0.000240163
97,3601.05,0.8487,0.73434,1.10881,0.64489,0.52728,0.57258,0.35071,1.45678,1.29111,1.53999,0.000238638,0.000238638,0.000238638
98,3638.52,0.8644,0.73657,1.11402,0.55676,0.55094,0.54204,0.34384,1.44553,1.31839,1.53101,0.000237114,0.000237114,0.000237114
99,3675.36,0.85636,0.72455,1.10702,0.62451,0.51964,0.55416,0.34372,1.46964,1.30259,1.54535,0.000235589,0.000235589,0.000235589
