epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1639.5,1.10669,1.07833,1.25069,0.65719,0.54838,0.5815,0.35282,1.39467,1.27412,1.4588,0.000322491,0.000322491,0.000322491
43,1678.63,1.08483,1.05187,1.25002,0.60858,0.5806,0.56184,0.34675,1.40287,1.30433,1.43852,0.000320967,0.000320967,0.000320967
44,1717.67,1.05328,1.02965,1.22282,0.70552,0.4568,0.54567,0.33488,1.39308,1.32586,1.4637,0.000319442,0.000319442,0.000319442
45,1756.99,1.05786,1.03944,1.22693,0.61827,0.54615,0.56765,0.35048,1.45196,1.32944,1.4842,0.000317918,0.000317918,0.000317918
46,1795.86,1.04795,1.00771,1.22089,0.68629,0.48011,0.56713,0.34635,1.45124,1.27891,1.5025,0.000316393,0.000316393,0.000316393
47,1834.76,1.06318,1.01037,1.22834,0.59741,0.53389,0.56976,0.3684,1.38238,1.27354,1.48767,0.000314868,0.000314868,0.000314868
48,1873.5,1.03897,0.98547,1.2137,0.62967,0.53354,0.55855,0.34143,1.46177,1.34881,1.48983,0.000313344,0.000313344,0.000313344
49,1913.23,1.04751,1.0039,1.22035,0.70804,0.48906,0.56296,0.34358,1.39421,1.22616,1.48961,0.000311819,0.000311819,0.000311819
50,1951.79,1.04639,0.98745,1.21759,0.53146,0.6002,0.54989,0.33518,1.46972,1.34472,1.50583,0.000310295,0.000310295,0.000310295
51,1990.65,1.03363,0.9951,1.22309,0.63802,0.49874,0.51687,0.31235,1.51925,1.33898,1.53858,0.00030877,0.00030877,0.00030877
52,2029.83,1.03003,0.97818,1.20663,0.64963,0.52044,0.55157,0.34949,1.4536,1.28035,1.50946,0.000307245,0.000307245,0.000307245
53,2068.53,1.0284,0.99019,1.20992,0.66799,0.479,0.55799,0.35215,1.39492,1.24526,1.46229,0.000305721,0.000305721,0.000305721
