epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1560.05,1.05208,1.03686,1.23354,0.68153,0.55183,0.60379,0.38451,1.33044,1.30249,1.43083,0.00031882,0.00031882,0.00031882
43,1597.27,1.06982,1.03556,1.23678,0.63601,0.58478,0.62296,0.38811,1.40429,1.24045,1.47992,0.00031684,0.00031684,0.00031684
44,1634.71,1.04695,1.00521,1.21634,0.67905,0.55797,0.5989,0.38302,1.36268,1.26405,1.44851,0.00031486,0.00031486,0.00031486
45,1670.77,1.04407,0.99417,1.21691,0.64047,0.57615,0.60902,0.3736,1.45289,1.26335,1.50603,0.00031288,0.00031288,0.00031288
46,1708.28,1.03978,0.99828,1.23067,0.69605,0.55341,0.59583,0.3733,1.40163,1.30632,1.47589,0.0003109,0.0003109,0.0003109
47,1745.8,1.03373,0.97268,1.21219,0.68231,0.57415,0.61865,0.38285,1.3905,1.24979,1.49145,0.00030892,0.00030892,0.00030892
48,1783.23,1.01085,0.9688,1.21278,0.65978,0.50416,0.58403,0.37266,1.35626,1.25507,1.46837,0.00030694,0.00030694,0.00030694
49,1820.84,1.0349,0.96367,1.21529,0.59352,0.6204,0.58657,0.36511,1.38185,1.19758,1.49109,0.00030496,0.00030496,0.00030496
50,1856.92,1.02294,0.97079,1.20844,0.56574,0.61225,0.58425,0.36412,1.40716,1.28328,1.48356,0.00030298,0.00030298,0.00030298
51,1893.9,1.0041,0.95317,1.20635,0.7601,0.5072,0.61386,0.37307,1.40729,1.26635,1.49128,0.000301,0.000301,0.000301
52,1931.25,0.97731,0.94751,1.19239,0.59084,0.56305,0.58412,0.36687,1.39685,1.27172,1.50089,0.00029902,0.00029902,0.00029902
53,1968.45,0.99232,0.91953,1.2024,0.70296,0.56634,0.61994,0.37876,1.40832,1.27947,1.4944,0.00029704,0.00029704,0.00029704
54,2005.47,0.97747,0.91774,1.19632,0.62491,0.54953,0.60254,0.38998,1.37318,1.23563,1.48191,0.00029506,0.00029506,0.00029506
55,2041.61,0.97821,0.91955,1.19448,0.67447,0.58162,0.6186,0.39882,1.38262,1.21865,1.48647,0.00029308,0.00029308,0.00029308
56,2078.67,0.96998,0.88963,1.17868,0.51785,0.60509,0.58615,0.36277,1.44496,1.252,1.52365,0.0002911,0.0002911,0.0002911
57,2116.38,0.97159,0.90059,1.18698,0.68722,0.52526,0.58011,0.36778,1.35715,1.27039,1.46461,0.00028912,0.00028912,0.00028912
58,2153.26,0.95786,0.89569,1.17898,0.61663,0.60585,0.63381,0.40424,1.34256,1.14384,1.44076,0.00028714,0.00028714,0.00028714
59,2189.7,0.9756,0.90772,1.18814,0.62362,0.5643,0.61852,0.38187,1.43243,1.18499,1.49225,0.00028516,0.00028516,0.00028516
60,2226.22,0.96316,0.87951,1.17774,0.63187,0.61234,0.59282,0.3744,1.39767,1.24298,1.48546,0.00028318,0.00028318,0.00028318
61,2263.29,0.95826,0.88063,1.16706,0.64158,0.55442,0.59489,0.36941,1.39509,1.24436,1.4755,0.0002812,0.0002812,0.0002812
62,2300.14,0.95475,0.85899,1.16108,0.70896,0.54353,0.59906,0.37712,1.38031,1.24914,1.46879,0.00027922,0.00027922,0.00027922
63,2337.36,0.96513,0.88558,1.18474,0.73175,0.54616,0.59663,0.37765,1.39675,1.25971,1.48541,0.00027724,0.00027724,0.00027724
64,2373.46,0.93837,0.85089,1.15578,0.70723,0.542,0.61092,0.38439,1.38779,1.24642,1.49498,0.00027526,0.00027526,0.00027526
65,2410.66,0.93891,0.85448,1.16391,0.69541,0.50305,0.59118,0.37953,1.41207,1.28203,1.50177,0.00027328,0.00027328,0.00027328
66,2448.19,0.9366,0.82855,1.15907,0.60046,0.62116,0.61601,0.3883,1.36587,1.2377,1.49263,0.0002713,0.0002713,0.0002713
67,2485.37,0.93163,0.85954,1.16026,0.5661,0.56887,0.60426,0.38663,1.38233,1.23309,1.48547,0.00026932,0.00026932,0.00026932
68,2522.39,0.92982,0.84158,1.16123,0.75022,0.5143,0.60688,0.38574,1.37803,1.22676,1.5088,0.00026734,0.00026734,0.00026734
69,2558.47,0.9267,0.81935,1.1506,0.6725,0.5857,0.61641,0.38616,1.37264,1.26389,1.47602,0.00026536,0.00026536,0.00026536
70,2595.87,0.92249,0.81365,1.15689,0.59942,0.58052,0.61424,0.39028,1.36633,1.22916,1.49131,0.00026338,0.00026338,0.00026338
71,2632.31,0.91277,0.82269,1.14411,0.68866,0.51199,0.61027,0.39349,1.3514,1.23698,1.47186,0.0002614,0.0002614,0.0002614
72,2668.1,0.89525,0.77927,1.13516,0.63632,0.54326,0.59082,0.36482,1.40798,1.31889,1.49795,0.00025942,0.00025942,0.00025942
73,2703.03,0.91344,0.80783,1.14352,0.57096,0.54795,0.59811,0.38123,1.36848,1.22972,1.49542,0.00025744,0.00025744,0.00025744
74,2739.11,0.90664,0.80252,1.14812,0.57262,0.60124,0.58318,0.36423,1.43294,1.29117,1.50635,0.00025546,0.00025546,0.00025546
75,2775.21,0.91834,0.80235,1.15111,0.53816,0.62299,0.62251,0.38605,1.40734,1.26519,1.52209,0.00025348,0.00025348,0.00025348
76,2811.47,0.88472,0.78067,1.13139,0.75139,0.51909,0.6049,0.38568,1.4128,1.27799,1.52449,0.0002515,0.0002515,0.0002515
77,2847.59,0.88757,0.78901,1.13764,0.67632,0.53342,0.59963,0.37087,1.4784,1.31722,1.5775,0.00024952,0.00024952,0.00024952
78,2884.37,0.90814,0.78881,1.14377,0.57647,0.64332,0.59842,0.36672,1.40979,1.25272,1.54977,0.00024754,0.00024754,0.00024754
79,2920.91,0.88071,0.76852,1.13504,0.69199,0.54127,0.60802,0.37774,1.42573,1.26094,1.55668,0.00024556,0.00024556,0.00024556
80,2956.93,0.87802,0.77651,1.13867,0.68757,0.52627,0.61487,0.38697,1.4198,1.2655,1.51447,0.00024358,0.00024358,0.00024358
81,2992.34,0.88526,0.76841,1.13795,0.67264,0.53343,0.60177,0.37478,1.44102,1.30659,1.54896,0.0002416,0.0002416,0.0002416
82,3028.96,0.88197,0.78313,1.13187,0.66801,0.49639,0.55944,0.3457,1.44862,1.26946,1.53713,0.00023962,0.00023962,0.00023962
83,3065.47,0.86959,0.76045,1.1227,0.69999,0.49967,0.58363,0.36985,1.3982,1.26302,1.49751,0.00023764,0.00023764,0.00023764
84,3101.16,0.88197,0.7623,1.13065,0.4797,0.58102,0.57828,0.3783,1.38584,1.24739,1.5125,0.00023566,0.00023566,0.00023566
85,3137.61,0.86628,0.75868,1.12623,0.6698,0.53165,0.58987,0.37503,1.40311,1.24148,1.54582,0.00023368,0.00023368,0.00023368
86,3174.54,0.85395,0.72682,1.11413,0.71048,0.49016,0.60181,0.3733,1.44077,1.31213,1.53312,0.0002317,0.0002317,0.0002317
87,3211.29,0.85655,0.73881,1.11029,0.68127,0.53672,0.59889,0.38218,1.40196,1.26137,1.52891,0.00022972,0.00022972,0.00022972
88,3247.12,0.86011,0.73718,1.11819,0.64086,0.53905,0.571,0.37446,1.36893,1.29907,1.48506,0.00022774,0.00022774,0.00022774
89,3283.3,0.84592,0.72855,1.10668,0.6487,0.52646,0.58898,0.37527,1.38162,1.27141,1.4953,0.00022576,0.00022576,0.00022576
90,3320.08,0.85552,0.74063,1.11664,0.72332,0.50867,0.61229,0.39493,1.37924,1.24254,1.49415,0.00022378,0.00022378,0.00022378
91,3357.15,0.83144,0.72553,1.10557,0.60366,0.56438,0.58967,0.37506,1.39049,1.27072,1.50529,0.0002218,0.0002218,0.0002218
92,3392.74,0.83219,0.70763,1.10373,0.72206,0.53825,0.61181,0.38193,1.40493,1.21053,1.51802,0.00021982,0.00021982,0.00021982
93,3428.83,0.84696,0.70978,1.10241,0.66653,0.56339,0.62286,0.40325,1.36102,1.20325,1.49835,0.00021784,0.00021784,0.00021784
94,3465.02,0.84236,0.7169,1.11069,0.53275,0.62468,0.59679,0.37649,1.38432,1.27051,1.4944,0.00021586,0.00021586,0.00021586
95,3501.58,0.82419,0.70672,1.10191,0.60671,0.53218,0.57287,0.36266,1.39777,1.30028,1.52429,0.00021388,0.00021388,0.00021388
96,3537.53,0.82016,0.69937,1.09712,0.64037,0.57314,0.59423,0.3814,1.36314,1.26768,1.49819,0.0002119,0.0002119,0.0002119
97,3574.33,0.8283,0.7114,1.09891,0.70493,0.47971,0.59323,0.38075,1.4057,1.28306,1.51346,0.00020992,0.00020992,0.00020992
98,3611.35,0.82114,0.70243,1.09655,0.70419,0.49829,0.59666,0.38753,1.37855,1.26566,1.49188,0.00020794,0.00020794,0.00020794
99,3648.1,0.81835,0.68924,1.08908,0.65311,0.50231,0.60189,0.38408,1.3787,1.28022,1.50715,0.00020596,0.00020596,0.00020596
100,3683.7,0.80464,0.68543,1.089,0.70749,0.52839,0.61089,0.39022,1.38945,1.21467,1.52493,0.00020398,0.00020398,0.00020398
101,3720.25,0.81078,0.68709,1.08682,0.66406,0.52032,0.58852,0.37223,1.40455,1.25419,1.51338,0.000202,0.000202,0.000202
102,3757,0.8086,0.68629,1.09085,0.67195,0.59261,0.63731,0.40484,1.39233,1.20772,1.52374,0.00020002,0.00020002,0.00020002
103,3793.79,0.80972,0.67787,1.0822,0.66402,0.53118,0.61697,0.3883,1.43191,1.21009,1.54129,0.00019804,0.00019804,0.00019804
104,3829.28,0.81584,0.68063,1.08934,0.66728,0.53342,0.60484,0.37749,1.39494,1.26681,1.53991,0.00019606,0.00019606,0.00019606
105,3865.71,0.80142,0.6898,1.08809,0.64124,0.5336,0.60776,0.39046,1.38025,1.22794,1.53937,0.00019408,0.00019408,0.00019408
106,3902.51,0.79208,0.67825,1.07154,0.70718,0.54074,0.62835,0.41452,1.39594,1.20672,1.5216,0.0001921,0.0001921,0.0001921
107,3939.12,0.79729,0.67808,1.08421,0.65468,0.60221,0.65194,0.41757,1.39888,1.21676,1.538,0.00019012,0.00019012,0.00019012
108,3974.5,0.79099,0.66605,1.07221,0.63618,0.56355,0.62263,0.4106,1.38395,1.23145,1.53199,0.00018814,0.00018814,0.00018814
109,4010.56,0.79544,0.66245,1.07583,0.64761,0.57682,0.614,0.39227,1.38797,1.26202,1.53189,0.00018616,0.00018616,0.00018616
110,4046.75,0.78086,0.67352,1.07384,0.61729,0.62503,0.61269,0.3911,1.39105,1.25304,1.52541,0.00018418,0.00018418,0.00018418
111,4082.41,0.77159,0.65135,1.06788,0.66253,0.57564,0.60867,0.38616,1.38302,1.25315,1.53517,0.0001822,0.0001822,0.0001822
112,4116.78,0.77116,0.64945,1.07105,0.63945,0.53829,0.5891,0.3771,1.38822,1.2563,1.51687,0.00018022,0.00018022,0.00018022
113,4152.88,0.77607,0.64428,1.07155,0.74464,0.5042,0.59064,0.38177,1.39238,1.22476,1.52104,0.00017824,0.00017824,0.00017824
114,4189.11,0.78096,0.65658,1.07443,0.58225,0.56867,0.58396,0.37193,1.4054,1.24818,1.56132,0.00017626,0.00017626,0.00017626
